day_of_week,day_of_month,next_2_days
3,5,-0.131481352620913
4,6,0.1462756714441904
5,7,0.5298231079911705
1,10,1.1237102302981592
2,11,1.0868266831870015
3,12,0.19498716883909045
4,13,0.7267507166413558
5,14,1.0205038387107708
1,17,-0.00109731536888308
2,18,-0.4084116333644407
4,20,-0.46225140181346286
5,21,0.08563609911842354
1,24,0.5512206515626896
2,25,0.24811791243130377
3,26,-0.31800365442141043
4,27,-0.14190147260849176
5,28,0.8887457756430416
1,1,1.1311262015534849
2,2,1.0560913531916645
3,3,0.6471003897152837
5,5,0.17585243481071305
1,8,1.0956702140513304
2,9,0.13555828818152887
3,10,-0.32943476340602146
4,11,0.8358821936047287
5,12,0.9233635793766685
1,15,-0.7627156046798597
2,16,-2.1635083875087817
3,17,-1.4900858269234953
4,18,0.35747121173159363
5,19,0.9217117960944595
1,22,-2.4671127681575635
2,23,-2.817266699454639
3,24,0.5890814396205695
4,25,1.1912798822674318
5,26,-0.41508959067683454
1,29,1.0754888809249525
2,30,0.18836287138952826
3,31,-3.182365179532206
4,1,-4.779977697495455
5,2,-1.9925012020816903
1,5,0.25393528133792226
2,6,1.5129737174792792
3,7,2.7821936003461873
4,8,0.4714911868030935
5,9,1.689133874958428
1,12,2.073572875179152
2,13,2.0018665351029266
3,14,1.8155128724959206
