day_of_week,day_of_month,1_days_dater,2_days_dater,3_days_dater,4_days_dater,5_days_dater,6_days_dater,7_days_dater,8_days_dater,9_days_dater,10_days_dater,11_days_dater,12_days_dater,13_days_dater,14_days_dater,15_days_dater
2,21,1.1363649030503336,-0.649346949821248,-1.9480470421542637,-3.5714237057431633,-1.6233766635888995,-1.7857118528715816,-2.922076755921915,3.7337712804068848,4.545459612201334,7.1428597968673655,5.032465180049381,4.870129990766698,7.1428597968673655,5.1948127547131016,5.032465180049381
3,22,-1.7656476526354996,-3.0497555930167404,-4.654892049270704,-2.728733200253668,-2.8892443966352044,-4.012841140634909,2.568222003872132,3.3707902319991137,5.939006112761596,3.8523238211437225,3.6918126247621865,5.939006112761596,4.012847263744559,3.8523238211437225,3.53130142838065
4,23,-1.3071882795547252,-2.941175187289479,-0.9803958845400855,-1.1437920820474055,-2.287584164094811,4.411765897516912,5.228759351384289,7.84313591049374,5.718947943906249,5.555551746398929,7.84313591049374,5.882356607744346,5.718947943906249,5.392155548891609,5.392155548891609
5,24,-1.6556290972468624,0.33112076687034037,0.16556038343517018,-0.9933812477823915,5.794701840364018,6.622516388987449,9.271520418292912,7.119197539292959,6.953637155857789,9.271520418292912,7.28477055417571,7.119197539292959,6.7880767724226185,6.7880767724226185,4.304633126552326
1,27,2.0201968306673908,1.8518492354614762,0.6733968028727624,7.575757381150028,8.417508201277808,11.111108256867066,8.922550986895551,8.754203391689638,11.111108256867066,9.090911426199675,8.922550986895551,8.585855796483722,8.585855796483722,6.06060333610038,11.78451148178893
2,28,-0.1650139878531475,-1.3201307874655843,5.445549727475754,6.270632256501761,8.91089383143293,6.765674220061204,6.600660232208057,8.91089383143293,6.930700797674621,6.765674220061204,6.435646244354909,6.435646244354909,3.9603986572768877,9.57096237260579,10.23103091377865
3,29,-1.157026054445377,5.619837232857696,6.4462835138494325,9.090909090909092,6.942143716102789,6.776856982018336,9.090909090909092,7.107443060756714,6.942143716102789,6.6115702479338845,6.6115702479338845,4.132231404958678,9.752068637816375,10.413228184723657,8.760335622740186
4,30,6.856191205897905,7.692311617903076,10.367894384682625,8.193976210195181,8.026754679431146,10.367894384682625,8.361210499144214,8.193976210195181,7.859533148667111,7.859533148667111,5.351171912651597,11.036793265923762,11.705692147164898,10.033451323154557,10.033451323154557
5,31,0.7824725947737335,3.2863825101328263,1.2519489878874113,1.0954568568495187,3.2863825101328263,1.4084530585095745,1.2519489878874113,0.938964725811626,0.938964725811626,-1.4084530585095745,3.9123629738686674,4.538343437604508,2.9733982480570416,2.9733982480570416,2.9733982480570416
1,3,2.484469621445801,0.46583139014791664,0.3105542600986111,2.484469621445801,0.6211203670828596,0.46583139014791664,0.15527713004930555,0.15527713004930555,-2.17391536134719,3.1055899885286604,3.7267103556115204,2.17391536134719,2.17391536134719,2.17391536134719,2.17391536134719
2,4,-1.9697015935724431,-2.121214433149858,0.0,-1.8181771943063447,-1.9697015935724431,-2.272727272727273,-2.272727272727273,-4.545454545454546,0.6060629179983428,1.2121258359966856,-0.30302567915482953,-0.30302567915482953,-0.30302567915482953,-0.30302567915482953,-2.121214433149858
3,5,-0.15455715430881573,2.009278381879633,0.15456894626382517,0.0,-0.30911430861763145,-0.30911430861763145,-2.627506999114896,2.6275187910699054,3.245759200260178,1.7001640732620016,1.7001640732620016,1.7001640732620016,1.7001640732620016,-0.15455715430881573,0.3091261005726409
4,6,2.1671850757701643,0.30960461665775585,0.15479640322461208,-0.15479640322461208,-0.15479640322461208,-2.4767778822193884,2.7863824988771446,3.4055799219841245,1.8575922693209401,1.8575922693209401,1.8575922693209401,1.8575922693209401,0.0,0.4644010198823679,-1.7027840558877965
5,7,-1.8181771943063447,-1.9697015935724431,-2.272727272727273,-2.272727272727273,-4.545454545454546,0.6060629179983428,1.2121258359966856,-0.30302567915482953,-0.30302567915482953,-0.30302567915482953,-0.30302567915482953,-2.121214433149858,-1.66666435472893,-3.787878787878788,0.0
1,10,-0.15433039939172066,-0.46296765066228557,-0.46296765066228557,-2.777782356460837,2.469133331433834,3.086419607731402,1.543209803865701,1.543209803865701,1.543209803865701,1.543209803865701,-0.3086490250270031,0.15431862563528245,-2.006177454527987,1.851847055136266,1.851847055136266
2,11,-0.30911430861763145,-0.30911430861763145,-2.627506999114896,2.6275187910699054,3.245759200260178,1.7001640732620016,1.7001640732620016,1.7001640732620016,1.7001640732620016,-0.15455715430881573,0.3091261005726409,-1.8547094356158078,2.009278381879633,2.009278381879633,3.245759200260178
3,12,0.0,-2.3255813953488373,2.9457387998122577,3.565896204275678,2.0155086073764537,2.0155086073764537,2.0155086073764537,2.0155086073764537,0.15503639398619187,0.6201574044634206,-1.550387596899225,2.3255813953488373,2.3255813953488373,3.565896204275678,6.356586781583092
4,13,-2.3255813953488373,2.9457387998122577,3.565896204275678,2.0155086073764537,2.0155086073764537,2.0155086073764537,2.0155086073764537,0.15503639398619187,0.6201574044634206,-1.550387596899225,2.3255813953488373,2.3255813953488373,3.565896204275678,6.356586781583092,6.2015503875969
5,14,5.396827818855407,6.031750875806051,4.444449288504464,4.444449288504464,4.444449288504464,4.444449288504464,2.5396801176525297,3.0158754379030257,0.7936507936507936,4.761904761904762,4.761904761904762,6.031750875806051,8.88888646685888,8.73015873015873,8.253963409908234
1,17,0.6024119227211292,-0.9036121390558235,-0.9036121390558235,-0.9036121390558235,-0.9036121390558235,-2.710847907219211,-2.2590360926654287,-4.367472077163511,-0.6024119227211292,-0.6024119227211292,0.6024119227211292,3.3132483398885992,3.1626482317212523,2.7108364171674704,3.3132483398885992
2,18,-1.4970059196332408,-1.4970059196332408,-1.4970059196332408,-1.4970059196332408,-3.293419875942396,-2.844313531552913,-4.940124103289206,-1.1976093042061033,-1.1976093042061033,0.0,2.6946038025905676,2.544905494876999,2.095799150487516,2.6946038025905676,2.6946038025905676
3,19,0.0,0.0,0.0,-1.8237150789990144,-1.3677834105432662,-3.495445205296794,0.3039467157545135,0.3039467157545135,1.5197567684205229,4.255311994683077,4.1033386368058204,3.6474069683500727,4.255311994683077,4.255311994683077,3.6474069683500727
4,20,0.0,0.0,-1.8237150789990144,-1.3677834105432662,-3.495445205296794,0.3039467157545135,0.3039467157545135,1.5197567684205229,4.255311994683077,4.1033386368058204,3.6474069683500727,4.255311994683077,4.255311994683077,3.6474069683500727,4.255311994683077
5,21,0.0,-1.8237150789990144,-1.3677834105432662,-3.495445205296794,0.3039467157545135,0.3039467157545135,1.5197567684205229,4.255311994683077,4.1033386368058204,3.6474069683500727,4.255311994683077,4.255311994683077,3.6474069683500727,4.255311994683077,4.863217021016082
